N,D,m,a,e
22,5,5,5,2
23,11,5,4,7
5,16,3,2,0
8,47,3,0,5
12,45,7,3,0
24,18,0,5,6
45,35,1,34,0
34,19,10,0,18
20,32,3,5,10
7,13,0,5,2
47,2,14,8,6
18,23,8,8,0
25,24,1,8,14
15,36,0,6,1
19,17,8,0,7
7,10,1,0,0
29,44,5,0,0
7,48,5,0,2
17,7,1,10,6
8,31,5,0,3
46,41,28,15,0
45,43,2,3,32
34,44,5,12,13
7,45,1,2,0
32,37,9,15,8
13,27,3,1,1
7,9,1,0,0
29,36,6,7,4
5,43,0,0,4
4,40,0,1,2
45,6,1,26,12
34,12,7,11,10
18,32,5,0,8
4,16,1,0,0
14,5,0,13,0
35,32,8,0,13
46,27,5,20,3
11,44,2,5,1
15,32,7,0,4
43,30,6,27,0
19,43,5,4,9
15,7,4,1,1
32,44,0,7,11
10,19,8,1,0
14,18,0,2,5
7,2,2,0,1
38,29,16,6,14
25,12,8,2,8
27,46,15,2,8
26,48,2,8,14
34,38,7,9,4
45,49,12,1,2
29,43,4,7,5
22,17,7,5,3
10,49,3,4,1
15,20,0,8,7
32,45,6,15,9
46,22,24,1,21
11,22,3,0,1
19,27,1,1,6
25,3,2,21,2
30,10,8,8,1
19,48,4,13,2
24,8,0,3,13
30,41,5,13,8
3,32,0,0,2
49,23,22,14,6
17,49,5,2,8
14,32,1,9,4
27,50,14,4,2
30,7,12,0,10
24,39,4,9,2
41,41,26,7,1
26,25,1,13,3
8,33,0,6,0
11,44,6,1,3
43,30,20,9,13
5,35,1,3,1
40,9,8,5,21
24,26,0,4,3
46,1,10,30,5
12,17,2,2,1
7,48,0,1,2
11,3,4,2,2
7,29,0,2,1
27,31,7,0,6
6,13,0,0,4
35,29,9,15,6
30,46,14,1,12
24,24,2,14,4
49,22,40,8,0
43,28,16,5,14
37,46,30,4,1
12,37,1,6,5
9,10,2,7,0
46,50,15,21,8
41,26,2,26,8
44,12,0,15,9
37,39,7,4,3
1,3,1,0,0
48,22,12,21,12
13,37,1,9,3
30,30,5,8,8
20,31,4,8,7
19,41,2,5,11
13,38,4,4,1
6,19,1,2,0
41,16,2,5,19
33,3,9,2,11
15,17,5,0,5
5,7,3,1,1
13,46,4,4,0
43,16,17,4,2
39,32,2,27,1
39,32,6,8,4
19,35,2,10,0
13,33,12,1,0
33,26,0,5,7
41,31,12,21,7
21,36,4,11,3
1,23,1,0,0
20,50,14,1,2
23,45,0,16,3
16,3,11,0,5
12,43,2,1,1
10,14,6,0,3
45,11,1,14,2
37,46,25,1,8
45,47,21,0,16
28,5,1,14,11
37,42,10,3,10
18,15,1,3,11
6,2,1,1,3
41,11,19,18,0
43,38,17,5,18
16,2,0,6,4
10,17,0,1,0
12,23,1,2,7
22,1,10,1,10
45,12,0,13,4
5,5,1,2,2
6,14,3,2,0
7,10,6,0,0
12,45,1,1,3
33,38,5,0,11
4,8,0,0,0
17,29,3,9,5
32,19,7,1,0
16,44,1,9,0
15,23,6,3,4
30,5,20,6,3
16,46,3,0,7
13,49,1,3,7
17,14,3,8,6
10,14,6,1,2
5,14,0,2,0
38,5,0,17,11
20,1,3,3,8
50,30,2,17,17
10,46,0,6,4
37,13,0,12,17
47,1,32,3,2
27,32,0,3,22
33,34,1,13,1
31,2,16,10,3
27,39,3,12,5
49,28,25,5,13
4,49,1,1,0
5,9,0,4,1
40,48,5,18,16
31,36,12,11,1
25,28,16,3,6
12,24,3,1,6
17,2,7,2,3
44,10,4,16,17
30,36,0,13,5
9,15,0,0,1
48,11,3,22,11
42,47,19,19,3
43,44,22,10,5
28,12,3,24,1
48,41,3,18,16
35,25,1,20,13
32,34,8,0,1
3,4,3,0,0
49,42,23,9,0
6,6,4,0,2
14,18,11,1,2
11,32,1,4,4
36,46,21,0,9
8,37,2,4,2
25,45,0,8,9
3,48,2,0,1
24,6,7,11,1
14,5,10,3,0
17,7,3,2,7
46,33,0,25,11
15,36,9,3,2
50,40,7,27,4
20,23,0,0,1
11,20,1,0,8
44,36,14,6,12
28,21,6,3,1
32,50,7,14,4
9,44,3,4,2
45,28,12,4,27
48,5,14,13,0
33,49,3,6,4
1,17,0,0,1
29,33,14,9,4
39,43,30,2,6
40,20,4,6,6
37,34,0,29,3
22,20,14,1,3
23,23,0,14,1
35,1,8,16,2
49,28,31,8,1
48,36,10,23,11
48,17,4,8,15
31,24,12,17,2
18,37,10,3,0
27,39,9,10,4
33,50,2,15,6
2,6,1,1,0
23,27,15,2,3
49,35,16,11,20
46,30,7,1,36
3,44,1,0,0
30,15,0,10,16
26,27,12,1,6
28,1,10,9,9
48,16,10,7,26
39,50,0,2,2
19,47,5,7,3
7,48,0,6,1
34,33,7,1,1
17,4,1,1,12
21,20,8,2,4
7,27,3,4,0
23,42,4,7,6
11,27,0,3,1
6,36,3,0,3
2,48,1,0,1
25,27,12,5,2
43,4,1,11,22
47,44,1,15,23
23,18,8,12,0
36,45,19,4,0
40,27,26,12,0
36,13,9,15,12
42,15,5,11,7
38,36,4,13,2
48,30,7,14,8
27,40,13,8,6
23,25,0,11,2
35,7,4,10,3
10,40,4,6,0
44,3,8,24,11
9,37,3,0,3
21,16,8,8,3
27,39,4,4,0
15,35,11,2,0
4,30,4,0,0
3,30,1,0,1
24,40,19,1,0
36,47,0,9,17
12,5,1,0,5
20,50,5,7,7
6,8,2,3,0
42,21,19,6,15
34,47,24,4,1
16,47,11,3,1
3,32,0,2,0
33,27,10,1,20
41,35,3,16,13
41,28,1,5,5
19,8,6,1,2
44,5,30,3,5
27,9,6,19,2
11,18,0,3,5
31,29,12,9,2
50,31,5,2,42
44,33,5,16,0
9,25,2,4,3
27,42,9,7,8
29,4,4,16,6
40,22,6,8,12
5,46,0,0,0
12,4,4,2,6
9,25,2,5,2
36,50,19,9,0
22,41,7,7,2
3,50,0,1,2
16,5,1,7,5
27,46,0,7,3
7,14,5,1,1
37,31,15,9,12
22,23,7,0,5
13,17,2,2,0
34,38,10,0,24
34,2,1,9,9
13,46,1,8,2
15,12,6,2,7
6,12,0,0,6
10,34,4,3,1
48,36,1,16,2
8,11,1,3,3
33,28,14,6,8
38,2,6,16,8
23,3,6,1,2
11,19,5,0,0
14,27,8,1,1
17,31,2,1,8
46,44,7,6,22
21,14,5,5,11
35,45,16,14,1
9,16,2,2,5
29,16,3,6,0
21,16,3,6,10
25,47,12,2,0
1,44,0,0,0
10,32,1,0,4
21,30,2,7,9
7,9,1,6,0
1,21,0,0,1
14,2,0,4,8
35,32,9,18,5
8,20,4,3,1
2,31,0,0,2
40,10,12,5,14
16,25,2,8,1
22,4,6,6,3
7,38,1,0,6
9,10,0,1,2
39,44,6,0,9
15,42,9,0,3
44,13,7,9,6
1,29,0,0,0
27,12,13,13,1
12,21,0,4,4
46,39,0,22,4
13,30,0,12,0
15,40,5,0,0
25,40,10,3,7
31,22,16,7,1
42,42,4,5,16
46,37,6,1,0
49,48,23,5,9
41,9,13,2,21
32,5,3,5,9
43,23,12,7,2
15,9,5,1,5
9,47,7,1,0
35,20,19,10,5
11,29,2,7,2
2,7,0,0,0
29,30,6,2,16
4,47,3,0,1
29,10,5,14,4
32,28,5,2,21
27,6,6,7,5
39,44,22,5,5
29,21,1,4,6
18,43,14,1,0
49,26,3,14,9
25,13,16,2,2
36,34,0,24,0
49,11,26,18,4
31,37,11,0,20
18,36,8,9,1
7,37,0,5,0
16,14,2,1,5
22,15,9,1,7
41,5,2,14,11
41,2,15,9,11
39,34,14,3,3
24,14,3,2,1
42,28,0,8,6
19,34,5,4,2
4,35,1,2,1
29,49,1,10,11
48,9,19,10,1
8,22,2,5,1
7,12,0,0,0
21,49,2,12,6
16,47,0,3,13
17,15,7,5,3
35,33,0,0,22
36,34,25,4,2
35,36,22,0,1
33,7,11,1,19
34,40,20,5,0
1,10,0,0,0
32,17,4,8,16
36,19,7,1,19
47,34,8,2,20
35,12,5,18,6
11,45,3,1,3
