
(4, 4) (3, 0) False Y S
(4, 3) (3, 0) False Y W
(3, 3) (3, 0) False Y S
(3, 2) (3, 0) False Y S
(3, 1) (3, 0) False Y S
(3, 0) (3, 0) False Y PICK
(3, 0) (3, 0) True Y N
(3, 1) (3, 1) True Y N
(3, 2) (3, 2) True Y W
(2, 2) (2, 2) True Y W
(1, 2) (1, 2) True Y W
(0, 2) (0, 2) True Y S
(0, 1) (0, 1) True Y S
(0, 0) (0, 0) True Y DROP
5.302522759876155
(0, 4) (4, 4) False Y E
(1, 4) (4, 4) False Y S
(1, 3) (4, 4) False Y S
(1, 2) (4, 4) False Y E
(2, 2) (4, 4) False Y E
(3, 2) (4, 4) False Y E
(2, 2) (4, 4) False Y E
(3, 2) (4, 4) False Y E
(4, 2) (4, 4) False Y N
(4, 3) (4, 4) False Y N
(4, 3) (4, 4) False Y N
(4, 4) (4, 4) False Y PICK
(4, 4) (4, 4) True Y W
(4, 4) (4, 4) True Y W
(3, 4) (3, 4) True Y S
(3, 3) (3, 3) True Y W
(2, 3) (2, 3) True Y S
(2, 2) (2, 2) True Y W
(1, 2) (1, 2) True Y W
(0, 2) (0, 2) True Y S
(0, 1) (0, 1) True Y S
(0, 0) (0, 0) True Y DROP
-2.8326558134489694
(3, 0) (4, 4) False Y N
(3, 1) (4, 4) False Y N
(3, 2) (4, 4) False Y E
(4, 2) (4, 4) False Y N
(4, 1) (4, 4) False Y N
(4, 2) (4, 4) False Y N
(4, 3) (4, 4) False Y N
(4, 4) (4, 4) False Y PICK
(4, 4) (4, 4) True Y W
(3, 4) (3, 4) True Y S
(3, 3) (3, 3) True Y W
(2, 3) (2, 3) True Y S
(2, 2) (2, 2) True Y W
(1, 2) (1, 2) True Y W
(0, 2) (0, 2) True Y S
(0, 1) (0, 1) True Y S
(0, 0) (0, 0) True Y DROP
2.174932531385073
(3, 0) (0, 4) False Y N
(3, 1) (0, 4) False Y N
(3, 2) (0, 4) False Y W
(2, 2) (0, 4) False Y W
(1, 2) (0, 4) False Y W
(0, 2) (0, 4) False Y N
(1, 2) (0, 4) False Y W
(0, 2) (0, 4) False Y N
(0, 1) (0, 4) False Y N
(0, 0) (0, 4) False Y N
(0, 1) (0, 4) False Y N
(0, 2) (0, 4) False Y N
(0, 2) (0, 4) False Y N
(0, 3) (0, 4) False Y N
(0, 4) (0, 4) False Y PICK
(0, 4) (0, 4) True Y S
(0, 3) (0, 3) True Y S
(0, 2) (0, 2) True Y S
(0, 1) (0, 1) True Y S
(0, 0) (0, 0) True Y DROP
-0.8597651397295927
(4, 4) (4, 4) False Y PICK
(4, 4) (4, 4) True Y W
(3, 4) (3, 4) True Y S
(3, 3) (3, 3) True Y W
(2, 3) (2, 3) True Y S
(3, 3) (3, 3) True Y W
(2, 3) (2, 3) True Y S
(2, 2) (2, 2) True Y W
(1, 2) (1, 2) True Y W
(0, 2) (0, 2) True Y S
(0, 1) (0, 1) True Y S
(0, 0) (0, 0) True Y DROP
7.440590511045972


AVERAGE DISCOUNTED REWARD:  2.2451249698257274
